state_name,district_name,fir_year,fil_year,reg_year_date,total_cases
Delhi,South West,2013,2018,2018,2
Assam,Barpeta,2014,2016,2017,1
Assam,Dhubri,2014,2019,2019,1
Assam,Morigaon,2015,2016,2016,10
Assam,Sivasagar,2013,2018,2018,1
Assam,Goalpara,0   ,2019,2019,4
Delhi,West,2014,2016,2016,22
Assam,Sivasagar,2016,2019,2019,1
Delhi,North,2017,2017,2017,163
Assam,Golaghat,2017,2018,2018,6
Assam,Udalguri,2019,2019,2019,21
Assam,Nalbari,2017,2018,2018,10
Haryana,Sonepat,2017,2018,2018,13
Assam,Chirang,2019,2020,2020,4
Assam,Cachar,0   ,0   ,2016,1
Delhi,New Delhi,2013,2017,2017,3
Haryana,Kurukshetra,2015,2016,2016,2
Assam,Barpeta,0   ,2020,2020,6
Assam,Golaghat,2018,2019,2019,29
Delhi,East,2016,2017,2017,41
Assam,Jorhat,0   ,0   ,2013,2
Delhi,West,2014,2017,2016,1
Delhi,West,2012,2012,2012,1
Haryana,Hisar,2016,2016,2016,30
Assam,Kamrup Metro,2015,2017,2017,13
Delhi,North,2015,2015,2015,40
Assam,Barpeta,2017,2020,2020,2
Assam,Karbi Anglong,2013,2013,2014,1
Assam,Morigaon,0   ,2016,2016,1
Assam,Goalpara,2019,2019,2019,36
Haryana,Sirsa,2017,2017,2017,20
Assam,Dhemaji,2017,2018,2018,18
Assam,Nalbari,0   ,0   ,2014,1
Delhi,North,2018,2018,2018,175
Delhi,Central,2014,2018,2018,1
Haryana,Bhiwani,2020,2020,2020,12
Haryana,Fatehabad,2015,2015,2015,25
Assam,Morigaon,2015,2015,2015,9
Assam,Kamrup,2018,2019,2019,17
Assam,Barpeta,0   ,0   ,2015,3
Haryana,Palwal,2016,2018,2018,2
Assam,Nalbari,2018,2018,2018,33
Haryana,Sonepat,2014,2015,2015,10
Delhi,North West,2012,2016,2016,1
Haryana,Jhajjar,2014,2014,2014,21
Haryana,Ambala,2017,2017,2017,38
Assam,Cachar,2012,2020,2020,1
Assam,Dibrugarh,2012,2015,2015,1
Assam,Cachar,2019,2019,2019,19
Haryana,Rewari,2019,2019,2019,47
Delhi,North East,2015,2017,2018,1
Delhi,New Delhi,2018,2018,2019,2
Assam,Bongaigaon,2017,2020,2020,1
Delhi,North,2016,2020,2020,4
Assam,Darrang,2014,2015,2015,2
Assam,Barpeta,2016,2016,2016,15
Haryana,Rohtak,2018,2019,2019,8
Haryana,Faridabad,2017,2017,2017,113
Assam,Kamrup,0   ,2016,2018,4
Assam,Nagaon,2013,2018,2018,1
Assam,Nalbari,0   ,2020,2020,1
Haryana,Rewari,2016,2016,2016,11
Haryana,Jind,2017,2017,2017,34
Assam,Darrang,2016,2016,2016,1
Haryana,Sirsa,2018,2018,2018,43
Haryana,Gurugram,2015,2017,2017,1
Assam,Dhemaji,0   ,2019,2019,1
Haryana,Jind,0   ,2016,2016,1
Assam,Dhubri,2015,2017,2017,5
Delhi,West,2018,2020,2020,2
Delhi,West,2014,2014,2014,159
Assam,Nagaon,2013,2014,2014,11
Assam,Kokrajhar,2016,2016,2016,5
Assam,Karbi Anglong,2014,2014,2014,8
Delhi,North West,2016,2017,2017,62
Assam,Morigaon,2019,2019,2019,30
Assam,Karbi Anglong,2019,2020,2020,11
Assam,Nagaon,2017,2019,2019,9
Assam,Kamrup Metro,2014,2018,2018,12
Assam,Sivasagar,2017,2019,2019,2
Assam,Karbi Anglong,2017,2017,2018,3
Delhi,South East,2017,2017,2017,88
Delhi,North,2013,2017,2017,3
Assam,Kamrup,2014,2018,2017,1
Haryana,Sirsa,2015,2015,2016,1
Delhi,Central,2013,2013,2014,1
Assam,Chirang,2017,2019,2019,1
Assam,Kokrajhar,2020,2020,2020,1
Haryana,Gurugram,2019,2020,2020,10
Assam,Karbi Anglong,0   ,2017,2017,1
Assam,Goalpara,2012,2018,2018,1
Assam,Barpeta,2019,2020,2020,23
Haryana,Rewari,2017,2018,2018,5
Delhi,North East,2014,2014,2014,12
Delhi,East,2019,2020,2020,16
Assam,Nalbari,2013,2015,2015,1
Delhi,New Delhi,2015,2018,2018,4
Assam,Nagaon,2019,2020,2020,8
Assam,Barpeta,2015,2016,2016,11
Delhi,East,2018,2019,2019,32
Assam,Dhubri,2015,2018,2018,5
Assam,Morigaon,2016,2018,2018,9
Delhi,North East,2013,2017,2017,3
Delhi,West,2013,2019,2013,1
Assam,Darrang,0   ,2020,2020,15
Haryana,Yamunanagar,2020,2020,2020,2
Assam,Golaghat,0   ,2019,2019,7
Delhi,South West,2018,2020,2020,1
Haryana,Hisar,2015,2018,2018,1
Haryana,Hisar,2017,2017,2017,41
Assam,Nagaon,2014,2019,2019,1
Delhi,North,2014,2019,2019,2
Haryana,Sonepat,2019,2020,2020,8
Assam,Karimganj,2014,2017,2017,1
Assam,Tinsukia,2017,2017,2017,28
Delhi,Shahdara,2015,2020,2020,2
Delhi,Shahdara,2012,2018,2018,1
Delhi,South,2019,2020,2020,19
Haryana,Rohtak,2016,2017,2017,13
Delhi,North West,2012,2017,2017,2
Delhi,North West,2015,2016,2016,35
Assam,Cachar,2019,2020,2020,10
Delhi,North East,2013,2014,2014,2
Assam,Lakhimpur,0   ,2019,2019,3
Delhi,South East,2020,2020,2020,1
Haryana,Panchkula,2015,2015,2015,9
Assam,Tinsukia,2014,2018,2017,1
Haryana,Gurugram,2016,2019,2019,1
Delhi,Central,2018,2018,2018,102
Assam,Cachar,2016,2017,2017,11
Assam,Nagaon,2015,2018,2018,4
Assam,Darrang,2019,2019,2019,8
Haryana,Faridabad,2016,2017,2017,27
Assam,Barpeta,2016,2018,2018,10
Assam,Bongaigaon,2019,2020,2020,6
Haryana,Ambala,2015,2016,2016,6
Assam,Chirang,0   ,2017,2017,9
Assam,Nalbari,2015,2016,2016,6
Haryana,Yamunanagar,2015,2016,2016,5
Assam,Kokrajhar,2014,2019,2019,1
Assam,Chirang,2015,2015,2015,2
Haryana,Hisar,0   ,2016,2016,1
Assam,Tinsukia,2018,2019,2019,7
Haryana,Kaithal,2016,2017,2017,8
Delhi,North,2013,2019,2019,1
Assam,Baksa,2016,2018,2018,17
Delhi,North West,2019,2019,2019,183
Haryana,Fatehabad,2017,2017,2017,42
Assam,Karbi Anglong,2018,2018,2018,29
Haryana,Gurugram,2016,2016,2016,35
Delhi,South East,2015,2020,2020,1
Delhi,Central,2013,2016,2016,7
Assam,Kamrup,0   ,2017,2017,2
Delhi,North East,2013,2019,2019,3
Assam,Kokrajhar,2015,2018,2018,1
Assam,Nalbari,2013,0   ,2013,1
Haryana,Palwal,0   ,2018,2018,1
Delhi,North,2014,2016,2015,1
Assam,Tinsukia,2016,2019,2019,1
Haryana,Fatehabad,2014,2014,2014,1
Delhi,Shahdara,2014,2019,2019,7
Haryana,Hisar,2016,2017,2017,12
Delhi,Central,2016,2018,2018,5
Assam,Dibrugarh,0   ,2017,2017,16
Assam,Udalguri,2016,2016,2016,3
Assam,Karimganj,2017,2018,2018,4
Haryana,Faridabad,2018,2020,2020,1
Delhi,North West,2016,2019,2019,27
Delhi,New Delhi,2016,2019,2019,1
Assam,Kamrup,2013,2014,2014,1
Haryana,Rohtak,2016,2016,2016,38
Assam,Kokrajhar,2017,2019,2019,2
Delhi,South East,2014,2014,2014,21
Assam,Morigaon,0   ,2019,2019,4
Delhi,North,0   ,2016,2016,1
Assam,Udalguri,2018,2020,2020,5
Delhi,Central,2018,2020,2020,2
Delhi,South East,2014,2019,2019,2
Delhi,Central,2013,2016,2014,1
Haryana,Yamunanagar,2019,2020,2020,1
Assam,Kamrup Metro,2014,2015,2015,6
Delhi,North East,2020,2020,2020,1
Assam,Udalguri,2016,2019,2019,4
Haryana,Kaithal,2017,2018,2018,15
Assam,Bongaigaon,2018,2018,2018,1
Delhi,Shahdara,2015,2017,2017,12
Assam,Tinsukia,0   ,2019,2019,3
Assam,Cachar,2014,2016,2016,4
Delhi,East,2014,2018,2018,5
Assam,Nalbari,2016,2016,2016,8
Assam,Karimganj,0   ,2014,2014,2
Delhi,South West,2016,2017,2016,1
Delhi,South West,2015,2016,2016,34
Assam,Kamrup,2014,2017,2017,2
Assam,Tinsukia,2015,2020,2020,1
Assam,Kamrup,2015,2016,2010,1
Haryana,Gurugram,2015,2016,2016,12
Delhi,North East,2013,2020,2020,1
Haryana,Palwal,2017,2020,2020,1
Delhi,New Delhi,2014,2017,2017,8
Haryana,Faridabad,2017,2018,2019,2
Assam,Kamrup,2017,2017,2017,12
Delhi,Central,2013,2018,2018,3
Delhi,New Delhi,2015,2017,2017,4
Delhi,New Delhi,2014,2017,2016,1
Haryana,Faridabad,2019,2019,2020,14
Assam,Karbi Anglong,2017,2017,2017,17
Delhi,South East,2013,2013,2013,11
Assam,Goalpara,0   ,0   ,2015,2
Haryana,Hisar,2019,2019,2019,71
Assam,Baksa,2017,2019,2019,7
Haryana,Kurukshetra,2019,2020,2020,5
Assam,Nalbari,2018,2019,2019,18
Assam,Kamrup Metro,2013,2014,2014,1
Haryana,Jind,2018,2018,2018,71
Delhi,South,2013,2013,2013,3
Assam,Sivasagar,2014,2014,2014,25
Haryana,Palwal,2015,2018,2018,2
Assam,Golaghat,2013,2014,2015,1
Delhi,Shahdara,2013,2015,2015,2
Assam,Dhubri,0   ,2018,2018,1
Haryana,Jhajjar,2016,2016,2016,27
Assam,Morigaon,2014,2015,2015,2
Delhi,North,2019,2019,2019,163
Delhi,South East,2015,2018,2018,10
Delhi,Central,2017,2017,2018,1
Assam,Bongaigaon,2019,2019,2019,15
Assam,Baksa,0   ,2018,2018,18
Delhi,Central,2012,2015,2015,2
Assam,Dhubri,2015,2015,2015,1
Assam,Darrang,0   ,2016,2016,12
Assam,Dhubri,2014,0   ,2015,1
Delhi,South,2016,2019,2019,4
Haryana,Ambala,2014,2015,2015,3
Delhi,North West,2017,2018,2019,1
Delhi,North,2014,2017,2017,6
Assam,Sivasagar,2013,2015,2015,2
Assam,Karimganj,2018,2018,2018,8
Delhi,South,2013,2017,2017,3
Delhi,North West,2013,2013,2013,1
Assam,Dhubri,2016,2019,2019,6
Assam,Kamrup,0   ,2017,2018,7
Assam,Lakhimpur,2019,2019,2019,43
Haryana,Sonepat,2020,2020,2020,3
Assam,Kamrup Metro,2017,2020,2020,2
Assam,Udalguri,2017,2019,2019,3
Assam,Golaghat,2016,2019,2019,1
Assam,Sonitpur,2017,2017,2017,9
Delhi,Central,2016,2017,2017,37
Assam,Golaghat,0   ,2018,2018,35
Delhi,North East,2014,2019,2019,4
Delhi,South East,2019,2019,2019,93
Delhi,West,2016,2018,2018,28
Delhi,East,2018,2018,2018,93
Assam,Jorhat,0   ,2018,2018,6
Delhi,Shahdara,2013,2017,2017,2
Haryana,Kaithal,2016,2019,2019,1
Delhi,North,2013,2013,2014,3
Delhi,South,2014,2015,2015,21
Assam,Cachar,2016,2019,2019,8
Assam,Golaghat,2017,2017,2017,5
Assam,Dibrugarh,2015,2015,2015,49
Haryana,Faridabad,2015,2016,2016,15
Haryana,Fatehabad,2018,2019,2019,12
Delhi,South West,2015,2018,2018,19
Delhi,Shahdara,2013,2019,2019,1
Assam,Kokrajhar,2018,2018,2018,38
Assam,Golaghat,2014,2019,2019,1
Delhi,South,2014,2017,2017,14
Haryana,Jhajjar,2019,2020,2020,5
Assam,Baksa,2014,2018,2018,5
Assam,Dhemaji,2018,2018,2018,22
Haryana,Gurugram,2018,2019,2019,34
Delhi,North East,2016,2019,2019,26
Assam,Karbi Anglong,2016,2019,2017,1
Haryana,Sonepat,2017,2017,2017,36
Assam,Cachar,2013,2013,2013,2
Assam,Kamrup Metro,2017,2017,2017,7
Assam,Dhemaji,2013,2017,2017,2
Assam,Kamrup Metro,2012,2016,2016,1
Assam,Dima Hasao,2018,2018,2018,6
Assam,Morigaon,0   ,2015,2015,6
Assam,Dima Hasao,2019,2020,2020,2
Assam,Darrang,0   ,2015,2015,1
Assam,Golaghat,2012,2015,2015,1
Haryana,Panchkula,2018,2018,2018,26
Delhi,West,2013,2018,2018,1
Assam,Sivasagar,2015,2017,2017,3
Delhi,North,2018,2017,2018,1
Assam,Jorhat,2020,2020,2020,14
Assam,Kamrup,2014,2015,2015,7
Delhi,North West,2014,2019,2019,2
Assam,Kamrup,2017,2018,2018,23
Assam,Hailakandi,2020,2020,2020,4
Haryana,Fatehabad,2014,2018,2018,1
Assam,Sonitpur,0   ,2018,2018,110
Assam,Cachar,2012,2016,2016,1
Delhi,South,2016,2016,2016,57
Assam,Lakhimpur,0   ,0   ,2014,1
Delhi,New Delhi,2019,2020,2020,13
Delhi,North West,2013,2014,2015,1
Assam,Sivasagar,2017,2017,2016,1
Delhi,South East,2019,2019,2020,2
Assam,Udalguri,2016,2018,2018,2
Delhi,North West,2018,2020,2020,2
Assam,Barpeta,2018,2020,2020,6
Delhi,South,2014,2014,2015,53
Delhi,East,2014,2015,2014,2
Assam,Cachar,2015,0   ,2015,3
Haryana,Hisar,2019,2020,2020,13
Assam,Kokrajhar,2015,2019,2019,1
Delhi,West,2013,2013,2014,1
Assam,Bongaigaon,2017,2019,2019,2
Haryana,Panchkula,2016,2016,2016,16
Assam,Chirang,0   ,2018,2018,12
Assam,Hailakandi,0   ,2019,2019,20
Delhi,South West,2012,2013,2013,2
Delhi,East,0   ,2018,2018,1
Assam,Udalguri,0   ,2016,2014,1
Assam,Golaghat,2015,2018,2018,1
Haryana,Fatehabad,2019,2020,2020,6
Delhi,West,2015,2019,2019,5
Assam,Cachar,2014,2015,2015,1
Assam,Goalpara,2016,2020,2020,1
Assam,Morigaon,2016,2017,2017,16
Assam,Nalbari,2015,2015,2015,5
Delhi,North,2015,2017,2017,21
Haryana,Fatehabad,2015,2016,2016,4
Delhi,North West,2016,2020,2020,1
Assam,Dhubri,2018,2018,2018,32
Delhi,South West,2016,2019,2019,5
Delhi,North East,2019,2019,2019,71
Haryana,Panipat,2017,2019,2019,1
Delhi,South,2017,2018,2018,44
Haryana,Fatehabad,2019,2019,2019,41
Assam,Kamrup,2019,2019,2019,28
Assam,Morigaon,2014,2014,2014,8
Delhi,Shahdara,2016,2017,2017,32
Haryana,Faridabad,2020,2020,2020,7
Delhi,South,2019,2020,2019,1
Haryana,Rohtak,2019,2020,2020,8
Haryana,Yamunanagar,2018,2018,2018,3
Assam,Sonitpur,0   ,2017,2017,86
Assam,Nagaon,2018,2018,2018,51
Assam,Bongaigaon,2016,2017,2016,2
Haryana,Palwal,2018,2019,2019,34
Assam,Kamrup,0   ,2017,2015,1
Delhi,North East,2016,2016,2016,12
Haryana,Jind,2015,2015,2015,4
Haryana,Sonepat,2015,2016,2016,7
Delhi,South,0   ,2019,2019,2
Assam,Nagaon,2014,2014,2014,18
Assam,Sivasagar,0   ,2020,2020,3
Assam,Karbi Anglong,2018,2019,2019,10
Haryana,Panipat,2016,2017,2017,8
Assam,Lakhimpur,2018,2020,2020,2
Haryana,Faridabad,2017,2018,2018,41
Assam,Darrang,2020,2020,2020,2
Delhi,North East,2017,2018,2018,32
Delhi,South,2019,2019,2020,2
Assam,Udalguri,2014,2019,2019,1
Assam,Cachar,2017,2017,2017,36
Assam,Kamrup,0   ,2015,2017,1
Assam,Kamrup,2018,2018,2018,54
Assam,Baksa,0   ,2020,2020,3
Assam,Sivasagar,2018,2018,2018,45
Assam,Dhemaji,2014,2017,2017,1
Delhi,Central,0   ,2018,2018,3
Assam,Kamrup,2016,2017,2017,6
Haryana,Sirsa,2016,2016,2016,27
Delhi,East,2015,2018,2018,5
Delhi,Central,2012,2013,2013,5
Delhi,South,2015,2018,2018,22
Assam,Morigaon,2013,2014,2014,1
Delhi,North East,2014,2017,2017,3
Assam,Sivasagar,2016,2016,2016,64
Assam,Cachar,2015,2017,2017,3
Delhi,East,2013,2015,2014,1
Assam,Sivasagar,2016,2018,2018,1
Assam,Dhubri,2015,2019,2019,7
Assam,Hailakandi,2019,2020,2020,5
Assam,Lakhimpur,2020,2020,2020,5
Assam,Barpeta,0   ,2017,2017,12
Delhi,South,2017,2019,2018,1
Assam,Dima Hasao,2019,2019,2019,3
Assam,Bongaigaon,2014,2014,2015,1
Assam,Kamrup,2015,2017,2017,1
Haryana,Faridabad,2017,2019,2019,7
Assam,Udalguri,2018,2019,2019,26
Haryana,Jhajjar,2014,2015,2015,8
Delhi,Shahdara,2015,2019,2019,16
Delhi,North East,2016,2020,2020,1
Assam,Jorhat,2016,2017,2017,1
Assam,Tinsukia,2016,2018,2018,3
Assam,Sonitpur,2014,2014,2014,7
Haryana,Palwal,2015,2019,2019,1
Haryana,Ambala,2020,2020,2020,5
Assam,Kokrajhar,0   ,2018,2018,4
Haryana,Sonepat,2018,2018,2018,58
Haryana,Rohtak,2015,2017,2017,1
Assam,Kamrup Metro,2016,2016,2016,6
Delhi,North West,2018,2019,2019,99
Assam,Tinsukia,0   ,2017,2017,2
Assam,Nalbari,2015,2019,2019,1
Assam,Nalbari,2019,2020,2020,8
Assam,Dhubri,2016,2017,2017,12
Assam,Sonitpur,2014,2016,2016,1
Assam,Dhubri,2013,2016,2016,3
Delhi,North West,2015,2016,2017,1
Assam,Baksa,2015,2019,2019,6
Assam,Sonitpur,2015,2016,2016,1
Assam,Kamrup,2019,2020,2020,9
Haryana,Jind,2013,2019,2019,1
Delhi,Central,2013,2017,2017,3
Assam,Morigaon,2014,2016,2016,5
Assam,Jorhat,2017,2018,2018,11
Haryana,Gurugram,2017,2019,2019,3
Delhi,West,2012,2013,2013,9
Assam,Karimganj,2015,2016,2016,2
Delhi,North,0   ,2017,2017,1
Delhi,South,2014,2017,2018,1
Assam,Nagaon,2016,2018,2018,11
Delhi,North East,2013,2018,2018,2
Haryana,Jind,2017,2018,2018,13
Assam,Kokrajhar,2018,2019,2019,16
Haryana,Rewari,2018,2018,2018,62
Assam,Sonitpur,0   ,2014,2014,2
Haryana,Panipat,2016,2016,2016,40
Assam,Sivasagar,2014,2015,2015,2
Delhi,New Delhi,2018,2018,2018,70
Assam,Barpeta,2019,2010,2019,1
Haryana,Faridabad,0   ,2016,2016,1
Delhi,South East,2015,2019,2019,3
Delhi,Central,2014,2017,2017,6
Assam,Nagaon,2016,2017,2017,47
Delhi,West,2019,2019,2019,150
Haryana,Gurugram,2017,2018,2018,10
Haryana,Ambala,2014,2019,2019,1
Assam,Darrang,0   ,2018,2018,36
Delhi,Central,2015,2015,2015,61
Assam,Dibrugarh,2015,2015,2016,1
Delhi,East,2016,2019,2019,8
Assam,Golaghat,2014,2014,2014,4
Delhi,East,2013,2015,2015,2
Assam,Golaghat,2012,2014,2014,1
Assam,Sonitpur,2019,2019,2019,24
Haryana,Kaithal,2020,2020,2020,6
Delhi,Central,2015,2018,2018,8
Assam,Tinsukia,2014,2014,2014,1
Haryana,Ambala,2019,2020,2020,8
Haryana,Yamunanagar,2014,2014,2014,5
Delhi,Central,2019,2020,2020,23
Haryana,Hisar,2015,2015,2015,3
Delhi,South,2014,2014,2014,4
Delhi,North West,2013,2016,2016,5
Assam,Golaghat,2014,2015,2015,4
Assam,Golaghat,2013,2016,2016,1
Assam,Sonitpur,2019,2020,2020,5
Assam,Cachar,0   ,2019,2019,1
Delhi,Central,2016,2016,2016,90
Assam,Kamrup Metro,2019,2020,2020,4
Assam,Kamrup,2015,2016,2018,1
Assam,Dhemaji,2018,2019,2019,1
Assam,Sivasagar,2013,2017,2017,4
Assam,Karimganj,0   ,2015,2015,4
Haryana,Bhiwani,2019,2019,2019,18
Assam,Nagaon,2015,2016,2016,9
Haryana,Ambala,2018,2019,2019,18
Assam,Barpeta,0   ,2019,2019,24
Haryana,Fatehabad,2016,2016,2016,31
Assam,Barpeta,2013,2014,2014,1
Delhi,Shahdara,2018,2019,2019,53
Assam,Kokrajhar,2016,2019,2019,1
Assam,Dhubri,2016,2018,2018,5
Delhi,South West,2014,2014,2014,24
Delhi,South East,2016,2019,2019,4
Assam,Dhubri,2018,2020,2020,2
Assam,Kamrup,2015,2019,2019,1
Assam,Udalguri,2017,2017,2017,11
Assam,Karimganj,0   ,2016,2016,16
Haryana,Kaithal,2018,2018,2018,43
Delhi,North,2019,2019,2020,1
Delhi,South West,2013,2017,2017,2
Assam,Jorhat,2014,0   ,2015,1
Delhi,West,2016,2017,2017,57
Delhi,North East,2019,2020,2020,16
Assam,Sonitpur,2015,2015,2015,4
Assam,Kokrajhar,2015,2017,2017,1
Assam,Karimganj,2018,2019,2019,6
Delhi,North,2012,2013,2014,1
Haryana,Sirsa,2017,2018,2018,11
Delhi,Central,2013,2014,2014,21
Haryana,Fatehabad,2018,2018,2018,62
Delhi,North,2015,2019,2019,4
Assam,Barpeta,0   ,2016,2016,6
Haryana,Faridabad,2019,2019,2019,166
Haryana,Palwal,2017,2019,2019,2
Assam,Dibrugarh,2014,0   ,2014,1
Delhi,West,2016,2019,2019,11
Assam,Jorhat,2018,2019,2019,6
Assam,Dhubri,2014,2017,2017,3
Delhi,North West,2012,2015,2013,1
Haryana,Panipat,2017,2018,2018,6
Haryana,Rewari,2018,2019,2019,9
Assam,Barpeta,2014,2019,2019,1
Assam,Barpeta,2014,2014,2014,2
Assam,Dhubri,0   ,0   ,2015,10
Delhi,North,2014,2015,2014,2
Delhi,East,2014,2014,2014,20
Assam,Jorhat,2015,2018,2018,1
Assam,Cachar,2017,2020,2020,2
Delhi,North,2017,2019,2019,9
Haryana,Rohtak,2015,2016,2016,8
Assam,Kokrajhar,2015,2016,2016,1
Assam,Cachar,2015,2016,2016,8
Haryana,Panchkula,2017,2018,2018,4
Delhi,South,2018,2019,2019,34
Delhi,West,2018,2018,2018,191
Assam,Sonitpur,2016,2017,2017,1
Assam,Morigaon,0   ,2020,2020,2
Assam,Tinsukia,0   ,2018,2018,4
Delhi,New Delhi,2016,2018,2018,4
Assam,Kokrajhar,0   ,2017,2017,18
Assam,Dima Hasao,0   ,2020,2020,3
Assam,Kamrup,0   ,2015,2018,3
Assam,Golaghat,2013,2014,2014,2
Assam,Dhemaji,2015,2015,2015,3
Assam,Nagaon,2014,2016,2016,1
Delhi,New Delhi,2019,2019,2020,1
Assam,Sonitpur,0   ,2019,2019,57
Delhi,Shahdara,2014,2017,2017,8
Assam,Kamrup Metro,2013,2018,2018,5
Assam,Lakhimpur,2015,2017,2017,1
Delhi,New Delhi,2015,2020,2020,2
Haryana,Panchkula,0   ,2019,2019,1
Haryana,Sonepat,2016,2017,2017,19
Assam,Kamrup Metro,2020,2020,2020,1
Assam,Bongaigaon,2016,2019,2019,1
Delhi,New Delhi,2017,2017,2018,7
Delhi,Central,0   ,2017,2017,1
Delhi,Central,2018,2019,2019,28
Assam,Golaghat,2020,2020,2020,3
Haryana,Jhajjar,2014,2014,2015,1
Assam,Dhemaji,2015,0   ,2015,4
Delhi,North East,2016,2018,2018,18
Haryana,Jhajjar,2019,2019,2019,39
Delhi,North East,2015,2019,2019,21
Haryana,Gurugram,0   ,2019,2019,3
Assam,Kamrup Metro,2014,2016,2016,5
Haryana,Panipat,2019,2020,2020,10
Delhi,North East,2014,2015,2015,5
Delhi,North East,2015,2016,2016,2
Assam,Kamrup,2014,2017,2015,1
Delhi,South West,2016,2018,2018,26
Assam,Sivasagar,2020,2020,2020,2
Assam,Kokrajhar,2016,2017,2017,5
Delhi,Shahdara,2017,2017,2017,51
Assam,Morigaon,2019,2020,2020,21
Delhi,South,2016,2017,2017,38
Assam,Baksa,2015,2018,2018,9
Assam,Kamrup Metro,2018,2018,2018,14
Assam,Baksa,2015,2018,2015,1
Delhi,North West,2015,2019,2019,9
Assam,Morigaon,2016,2019,2019,7
Haryana,Rewari,2015,2016,2016,1
Assam,Sivasagar,2018,2020,2020,1
Haryana,Kaithal,2017,2019,2019,1
Delhi,South East,2016,2016,2016,60
Haryana,Rewari,2015,2017,2017,1
Assam,Sivasagar,2015,2016,2016,5
Delhi,Central,0   ,2019,2019,2
Delhi,South,2017,2017,2017,58
Delhi,Shahdara,2015,2015,2015,27
Assam,Morigaon,2017,2018,2018,30
Assam,Chirang,2014,2018,2014,1
Assam,Karimganj,2016,2016,2016,12
Haryana,Sonepat,2019,2019,2019,58
Haryana,Yamunanagar,2018,2019,2019,1
Assam,Kamrup Metro,2015,2016,2016,7
Delhi,South West,2019,2020,2020,19
Assam,Barpeta,2018,2018,2018,78
Delhi,North East,2016,2017,2017,7
Delhi,North West,2014,2014,2014,4
Haryana,Kurukshetra,2016,2017,2017,12
Assam,Lakhimpur,2017,2017,2019,1
Assam,Dibrugarh,0   ,2016,2016,2
Assam,Baksa,2017,2018,2018,22
Haryana,Gurugram,0   ,2016,2016,2
Delhi,West,2013,2014,2014,56
Delhi,South West,0   ,2017,2017,2
Assam,Sivasagar,2014,2018,2018,2
Assam,Dhemaji,2016,2017,2017,11
Haryana,Ambala,2016,2016,2016,19
Assam,Lakhimpur,2018,2019,2019,1
Assam,Morigaon,0   ,2014,2014,1
Delhi,North West,2013,2017,2017,2
Delhi,Shahdara,2019,2019,2019,83
Assam,Karbi Anglong,0   ,2020,2020,2
Haryana,Sirsa,2012,2016,2016,1
Delhi,East,2014,2019,2019,3
Assam,Sonitpur,2015,2017,2017,1
Assam,Dibrugarh,2016,2016,2016,39
Delhi,North West,2014,2015,2015,1
Delhi,West,0   ,2018,2018,1
Delhi,Shahdara,2013,2014,2014,5
Assam,Kokrajhar,2014,2016,2016,1
Delhi,North West,2013,2015,2015,1
Haryana,Panipat,2020,2020,2020,3
Assam,Nagaon,2018,2020,2020,2
Delhi,North West,2014,2018,2018,10
Delhi,West,2015,2015,2015,132
Haryana,Ambala,2017,2018,2018,11
Haryana,Sirsa,2013,2014,2014,1
Assam,Bongaigaon,0   ,2017,2017,12
Assam,Nagaon,2019,2019,2019,30
Delhi,North West,2014,2017,2017,18
Assam,Cachar,2018,2019,2019,29
Delhi,South West,2019,2019,2020,4
Assam,Kamrup,2016,2019,2019,3
Delhi,North,2016,2018,2019,1
Delhi,Shahdara,2018,2018,2018,90
Delhi,South East,2015,2016,2016,12
Assam,Golaghat,0   ,2015,2015,1
Haryana,Fatehabad,2016,2018,2018,1
Delhi,Central,2013,2015,2015,7
Delhi,East,2014,2015,2015,16
Delhi,West,2019,2019,2020,3
Assam,Barpeta,2017,2019,2019,20
Assam,Kokrajhar,0   ,2016,2016,2
Haryana,Jhajjar,2016,2017,2017,8
Assam,Hailakandi,2018,2020,2020,2
Assam,Bongaigaon,2018,2019,2019,6
Delhi,North West,2016,2018,2018,31
Assam,Tinsukia,2019,2020,2020,1
Delhi,New Delhi,2017,2018,2018,25
Assam,Udalguri,2018,2018,2018,13
Assam,Kamrup,2013,2017,2017,1
Haryana,Kaithal,2016,2016,2016,25
Assam,Sivasagar,2012,2015,2015,2
Haryana,Sirsa,2019,2019,2019,78
Assam,Barpeta,2014,2016,2014,3
Delhi,North West,2017,2020,2020,4
Delhi,East,0   ,2019,2019,1
Haryana,Hisar,2017,2018,2018,10
Delhi,North,2016,2019,2019,12
Assam,Karbi Anglong,2013,2017,2013,1
Delhi,North,2013,2016,2016,4
Assam,Nalbari,2019,2019,2019,35
Assam,Goalpara,0   ,0   ,2014,1
Assam,Dhemaji,2016,2018,2018,4
Assam,Udalguri,0   ,2019,2019,3
Delhi,South West,2017,2017,2018,2
Assam,Dhemaji,2017,2017,2017,14
Delhi,North,2014,2015,2015,18
Assam,Udalguri,2016,2017,2016,4
Delhi,New Delhi,2014,2020,2020,1
Assam,Kamrup Metro,2017,2018,2018,31
Haryana,Panchkula,2012,2017,2017,1
Assam,Morigaon,2018,2018,2018,23
Assam,Karbi Anglong,2016,2016,2017,1
Delhi,North West,2015,2017,2017,23
Haryana,Kurukshetra,2018,2019,2019,5
Assam,Dhemaji,2014,2018,2018,2
Assam,Dhubri,0   ,2016,2016,6
